participant,participant_index,has_gsr,trial,type,sound,sound_group,file_A,file_B,choice,A_angle,B_angle,A_kind,B_kind,pair_class,trial_type_matches_inferred,chosen_side,chosen_angle,chosen_is_ambiguous,A_delta,B_delta,phys_choice,match
20260501_035555_5,4,True,3,AMBIG_AMBIG,zombie,scary,audio/zombie_315.wav,audio/zombie_180.wav,A,315,180,ambiguous,ambiguous,AMBIG_AMBIG,True,A,315,1,3.878048780487916,3.878048780487916,B,0.0
20260501_035555_5,4,True,4,AMBIG_AMBIG,bear,scary,audio/bear_225.wav,audio/bear_315.wav,B,225,315,ambiguous,ambiguous,AMBIG_AMBIG,True,B,315,1,3.390243902439124,3.390243902439124,B,1.0
20260501_035555_5,4,True,5,DIST_DIST,scream,scary,audio/scream_270.wav,audio/scream_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,3.658536585365937,3.658536585365937,B,0.0
20260501_035555_5,4,True,6,DIST_DIST,zombie,scary,audio/zombie_90.wav,audio/zombie_270.wav,B,90,270,discrete,discrete,DIST_DIST,True,B,270,0,4.560975609756042,4.560975609756042,B,1.0
20260501_035555_5,4,True,7,AMBIG_DIST,scream,scary,audio/scream_270.wav,audio/scream_315.wav,B,270,315,discrete,ambiguous,AMBIG_DIST,True,B,315,1,1.7317073170731874,4.341463414634063,B,1.0
20260501_035555_5,4,True,8,DIST_DIST,tiger,scary,audio/tiger_270.wav,audio/tiger_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,3.4878048780487916,3.4878048780487916,B,1.0
20260501_035555_5,4,True,9,AMBIG_AMBIG,white_noise,white_noise,audio/white_noise_180.wav,audio/white_noise_0.wav,B,180,0,ambiguous,ambiguous,AMBIG_AMBIG,True,B,0,1,3.439024390243958,3.439024390243958,B,1.0
20260501_035555_5,4,True,10,AMBIG_DIST,bear,scary,audio/bear_315.wav,audio/bear_270.wav,B,315,270,ambiguous,discrete,AMBIG_DIST,True,B,270,0,3.8292682926828547,3.8292682926828547,B,1.0
20260501_035555_5,4,True,11,AMBIG_DIST,white_noise,white_noise,audio/white_noise_90.wav,audio/white_noise_180.wav,A,90,180,discrete,ambiguous,AMBIG_DIST,True,A,90,0,3.9024390243903326,2.2926829268292295,A,1.0
20260501_035555_5,4,True,12,AMBIG_DIST,zombie,scary,audio/zombie_0.wav,audio/zombie_90.wav,B,0,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,6.195121951219562,6.195121951219562,B,1.0
20260501_035555_5,4,True,13,AMBIG_DIST,scream,scary,audio/scream_315.wav,audio/scream_90.wav,A,315,90,ambiguous,discrete,AMBIG_DIST,True,A,315,1,5.463414634146375,5.463414634146375,B,0.0
20260501_035555_5,4,True,14,AMBIG_DIST,death_whistle,scary,audio/death_whistle_90.wav,audio/death_whistle_225.wav,B,90,225,discrete,ambiguous,AMBIG_DIST,True,B,225,1,3.0731707317072505,4.097560975609667,B,1.0
20260509_163714_6,5,True,1,PRIMING,mixed,other,audio/tiger_45.wav,audio/white_noise_45.wav,B,45,45,ambiguous,ambiguous,AMBIG_AMBIG,,B,45,1,1.3170731707318737,2.1951219512193347,B,1.0
20260509_163714_6,5,True,2,PRIMING,mixed,other,audio/death_whistle_315.wav,audio/bear_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,,A,315,1,2.26829268292704,2.26829268292704,B,0.0
20260509_163714_6,5,True,3,AMBIG_AMBIG,zombie,scary,audio/zombie_45.wav,audio/zombie_225.wav,A,45,225,ambiguous,ambiguous,AMBIG_AMBIG,True,A,45,1,1.2314049586775582,1.2314049586775582,B,0.0
20260509_163714_6,5,True,4,AMBIG_DIST,tiger,scary,audio/tiger_90.wav,audio/tiger_45.wav,B,90,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,1.1219512195120842,1.1219512195120842,B,1.0
20260509_163714_6,5,True,5,DIST_DIST,zombie,scary,audio/zombie_270.wav,audio/zombie_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,1.26829268292704,1.26829268292704,B,0.0
20260509_163714_6,5,True,6,AMBIG_DIST,death_whistle,scary,audio/death_whistle_180.wav,audio/death_whistle_90.wav,A,180,90,ambiguous,discrete,AMBIG_DIST,True,A,180,1,2.26829268292704,2.26829268292704,B,0.0
20260509_163714_6,5,True,7,AMBIG_AMBIG,white_noise,white_noise,audio/white_noise_0.wav,audio/white_noise_225.wav,A,0,225,ambiguous,ambiguous,AMBIG_AMBIG,True,A,0,1,1.2195121951217516,2.2439024390241684,B,0.0
20260509_163714_6,5,True,8,AMBIG_DIST,scream,scary,audio/scream_180.wav,audio/scream_90.wav,B,180,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,0.9756097560975832,0.9756097560975832,B,1.0
20260509_163714_6,5,True,9,AMBIG_DIST,scream,scary,audio/scream_270.wav,audio/scream_45.wav,B,270,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,1.0731707317072505,1.0731707317072505,B,1.0
20260509_163714_6,5,True,10,DIST_DIST,bear,scary,audio/bear_270.wav,audio/bear_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,1.0243902439024168,1.0243902439024168,B,1.0
20260509_163714_6,5,True,11,AMBIG_DIST,scream,scary,audio/scream_270.wav,audio/scream_225.wav,B,270,225,discrete,ambiguous,AMBIG_DIST,True,B,225,1,0.9512195121951663,0.9512195121951663,B,1.0
20260509_163714_6,5,True,12,AMBIG_DIST,scream,scary,audio/scream_90.wav,audio/scream_0.wav,B,90,0,discrete,ambiguous,AMBIG_DIST,True,B,0,1,-10.975609756097583,-10.975609756097583,B,1.0
20260509_163714_6,5,True,13,AMBIG_AMBIG,white_noise,white_noise,audio/white_noise_180.wav,audio/white_noise_315.wav,A,180,315,ambiguous,ambiguous,AMBIG_AMBIG,True,A,180,1,98.70731707317054,98.70731707317054,B,0.0
20260509_163714_6,5,True,14,DIST_DIST,scream,scary,audio/scream_270.wav,audio/scream_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,1.1951219512193347,1.1951219512193347,B,1.0
20260509_165613_7,6,True,1,PRIMING,mixed,other,audio/scream_270.wav,audio/death_whistle_270.wav,B,270,270,discrete,discrete,DIST_DIST,,B,270,0,0.7539308176101258,1.7073170731705432,B,1.0
20260509_165613_7,6,True,2,PRIMING,mixed,other,audio/white_noise_90.wav,audio/bear_90.wav,A,90,90,discrete,discrete,DIST_DIST,,A,90,0,0.7804878048782484,0.7804878048782484,B,0.0
20260509_165613_7,6,True,3,AMBIG_DIST,bear,scary,audio/bear_90.wav,audio/bear_315.wav,B,90,315,discrete,ambiguous,AMBIG_DIST,True,B,315,1,0.9024390243903326,0.9024390243903326,B,1.0
20260509_165613_7,6,True,4,AMBIG_DIST,bear,scary,audio/bear_270.wav,audio/bear_180.wav,B,270,180,discrete,ambiguous,AMBIG_DIST,True,B,180,1,1.8048780487806653,1.8048780487806653,B,1.0
20260509_165613_7,6,True,5,DIST_DIST,white_noise,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,1.7073170731705432,1.7073170731705432,B,0.0
20260509_165613_7,6,True,6,AMBIG_DIST,death_whistle,scary,audio/death_whistle_225.wav,audio/death_whistle_90.wav,A,225,90,ambiguous,discrete,AMBIG_DIST,True,A,225,1,1.7804878048782484,1.7804878048782484,B,0.0
20260509_165613_7,6,True,7,AMBIG_AMBIG,death_whistle,scary,audio/death_whistle_135.wav,audio/death_whistle_0.wav,B,135,0,ambiguous,ambiguous,AMBIG_AMBIG,True,B,0,1,1.7804878048782484,1.7804878048782484,B,1.0
20260509_165613_7,6,True,8,AMBIG_DIST,bear,scary,audio/bear_270.wav,audio/bear_315.wav,A,270,315,discrete,ambiguous,AMBIG_DIST,True,A,270,0,0.585365853658459,0.585365853658459,B,0.0
20260509_165613_7,6,True,9,DIST_DIST,scream,scary,audio/scream_270.wav,audio/scream_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,1.829268292683082,1.829268292683082,B,1.0
20260509_165613_7,6,True,10,AMBIG_DIST,death_whistle,scary,audio/death_whistle_225.wav,audio/death_whistle_270.wav,A,225,270,ambiguous,discrete,AMBIG_DIST,True,A,225,1,0.7560975609758316,0.7560975609758316,B,0.0
20260509_165613_7,6,True,11,DIST_DIST,bear,scary,audio/bear_90.wav,audio/bear_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,1.7560975609758316,1.7560975609758316,B,0.0
20260509_165613_7,6,True,12,AMBIG_AMBIG,tiger,scary,audio/tiger_315.wav,audio/tiger_180.wav,A,315,180,ambiguous,ambiguous,AMBIG_AMBIG,True,A,315,1,1.6829268292681263,1.6829268292681263,B,0.0
20260509_165613_7,6,True,13,AMBIG_AMBIG,death_whistle,scary,audio/death_whistle_0.wav,audio/death_whistle_45.wav,A,0,45,ambiguous,ambiguous,AMBIG_AMBIG,True,A,0,1,1.7073170731705432,1.6585365853657095,A,1.0
20260509_165613_7,6,True,14,AMBIG_DIST,zombie,scary,audio/zombie_315.wav,audio/zombie_90.wav,B,315,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,1.7804878048782484,1.7804878048782484,B,1.0
20260510_222645_8,7,True,1,PRIMING,mixed,other,audio/scream_90.wav,audio/bear_90.wav,A,90,90,discrete,discrete,DIST_DIST,,A,90,0,1.560975609756042,1.560975609756042,B,0.0
20260510_222645_8,7,True,2,PRIMING,mixed,other,audio/zombie_225.wav,audio/death_whistle_225.wav,B,225,225,ambiguous,ambiguous,AMBIG_AMBIG,,B,225,1,1.560975609756042,1.560975609756042,B,1.0
20260510_222645_8,7,True,3,DIST_DIST,zombie,scary,audio/zombie_270.wav,audio/zombie_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,-21.829268292683082,-21.829268292683082,B,0.0
20260510_222645_8,7,True,4,DIST_DIST,bear,scary,audio/bear_90.wav,audio/bear_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,-23.34146341463429,-23.34146341463429,B,0.0
20260510_222645_8,7,True,5,AMBIG_DIST,scream,scary,audio/scream_180.wav,audio/scream_90.wav,A,180,90,ambiguous,discrete,AMBIG_DIST,True,A,180,1,-12.804878048780665,-12.804878048780665,B,0.0
20260510_222645_8,7,True,6,DIST_DIST,death_whistle,scary,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,-4.682926829268126,-9.682926829268126,A,1.0
20260510_222645_8,7,True,7,AMBIG_DIST,tiger,scary,audio/tiger_225.wav,audio/tiger_90.wav,A,225,90,ambiguous,discrete,AMBIG_DIST,True,A,225,1,-4.707317073170543,-4.707317073170543,B,0.0
20260510_222645_8,7,True,8,AMBIG_DIST,bear,scary,audio/bear_225.wav,audio/bear_90.wav,A,225,90,ambiguous,discrete,AMBIG_DIST,True,A,225,1,8.92682926829275,8.92682926829275,B,0.0
20260510_222645_8,7,True,9,AMBIG_DIST,death_whistle,scary,audio/death_whistle_180.wav,audio/death_whistle_270.wav,A,180,270,ambiguous,discrete,AMBIG_DIST,True,A,180,1,77.12195121951208,77.12195121951208,B,0.0
20260510_222645_8,7,True,10,AMBIG_AMBIG,zombie,scary,audio/zombie_0.wav,audio/zombie_225.wav,A,0,225,ambiguous,ambiguous,AMBIG_AMBIG,True,A,0,1,-8.487804878048792,-8.487804878048792,B,0.0
20260510_222645_8,7,True,11,AMBIG_AMBIG,zombie,scary,audio/zombie_0.wav,audio/zombie_135.wav,A,0,135,ambiguous,ambiguous,AMBIG_AMBIG,True,A,0,1,11.512195121951208,11.512195121951208,B,0.0
20260510_222645_8,7,True,12,AMBIG_DIST,zombie,scary,audio/zombie_90.wav,audio/zombie_315.wav,B,90,315,discrete,ambiguous,AMBIG_DIST,True,B,315,1,4.682926829268354,4.682926829268354,B,1.0
20260510_222645_8,7,True,13,AMBIG_DIST,death_whistle,scary,audio/death_whistle_0.wav,audio/death_whistle_90.wav,B,0,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,-5.048780487804834,24.390243902439124,B,1.0
20260510_222645_8,7,True,14,AMBIG_AMBIG,bear,scary,audio/bear_0.wav,audio/bear_45.wav,B,0,45,ambiguous,ambiguous,AMBIG_AMBIG,True,B,45,1,3.658536585365937,3.658536585365937,B,1.0
20260510_223607_9,8,True,1,PRIMING,mixed,other,audio/zombie_270.wav,audio/death_whistle_270.wav,A,270,270,discrete,discrete,DIST_DIST,,A,270,0,1.5657894736841627,1.5657894736841627,B,0.0
20260510_223607_9,8,True,2,PRIMING,mixed,other,audio/bear_90.wav,audio/zombie_90.wav,B,90,90,discrete,discrete,DIST_DIST,,B,90,0,1.414634146341541,1.414634146341541,B,1.0
20260510_223607_9,8,True,3,AMBIG_AMBIG,white_noise,white_noise,audio/white_noise_225.wav,audio/white_noise_135.wav,B,225,135,ambiguous,ambiguous,AMBIG_AMBIG,True,B,135,1,0.36585365853670737,1.6341463414632926,B,1.0
20260510_223607_9,8,True,4,DIST_DIST,tiger,scary,audio/tiger_90.wav,audio/tiger_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,0.46341463414637474,1.560975609756042,B,0.0
20260510_223607_9,8,True,5,AMBIG_DIST,zombie,scary,audio/zombie_90.wav,audio/zombie_135.wav,B,90,135,discrete,ambiguous,AMBIG_DIST,True,B,135,1,1.6097560975608758,1.6097560975608758,B,1.0
20260510_223607_9,8,True,6,AMBIG_AMBIG,death_whistle,scary,audio/death_whistle_135.wav,audio/death_whistle_225.wav,A,135,225,ambiguous,ambiguous,AMBIG_AMBIG,True,A,135,1,1.6585365853657095,1.6585365853657095,B,0.0
20260510_223607_9,8,True,7,DIST_DIST,bear,scary,audio/bear_90.wav,audio/bear_270.wav,B,90,270,discrete,discrete,DIST_DIST,True,B,270,0,1.3658536585367074,1.3658536585367074,B,1.0
20260510_223607_9,8,True,8,AMBIG_DIST,bear,scary,audio/bear_270.wav,audio/bear_0.wav,B,270,0,discrete,ambiguous,AMBIG_DIST,True,B,0,1,1.26829268292704,1.26829268292704,B,1.0
20260510_223607_9,8,True,9,AMBIG_AMBIG,zombie,scary,audio/zombie_135.wav,audio/zombie_45.wav,A,135,45,ambiguous,ambiguous,AMBIG_AMBIG,True,A,135,1,1.4878048780487916,1.4878048780487916,B,0.0
20260510_223607_9,8,True,10,AMBIG_DIST,scream,scary,audio/scream_90.wav,audio/scream_0.wav,A,90,0,discrete,ambiguous,AMBIG_DIST,True,A,90,0,0.7073170731705432,0.7073170731705432,B,0.0
