participant,participant_index,has_gsr,trial,type,sound,sound_group,file_A,file_B,choice,A_angle,B_angle,A_kind,B_kind,pair_class,trial_type_matches_inferred,chosen_side,chosen_angle,chosen_is_ambiguous,A_delta,B_delta,phys_choice,match
20260510_225139_11,10,False,1,PRIMING,mixed,other,audio/death_whistle_90.wav,audio/bear_90.wav,A,90,90,discrete,discrete,DIST_DIST,False,A,90,0,,,,
20260510_225139_11,10,False,2,PRIMING,mixed,other,audio/scream_135.wav,audio/zombie_135.wav,A,135,135,ambiguous,ambiguous,AMBIG_AMBIG,False,A,135,1,,,,
20260510_225242_12,11,False,1,PRIMING,mixed,other,audio/zombie_225.wav,audio/tiger_225.wav,A,225,225,ambiguous,ambiguous,AMBIG_AMBIG,False,A,225,1,,,,
20260510_225242_12,11,False,2,PRIMING,mixed,other,audio/tiger_270.wav,audio/white_noise_270.wav,B,270,270,discrete,discrete,DIST_DIST,False,B,270,0,,,,
20260510_225257_13,12,False,1,PRIMING,mixed,other,audio/bear_0.wav,audio/scream_0.wav,B,0,0,ambiguous,ambiguous,AMBIG_AMBIG,False,B,0,1,,,,
20260510_225257_13,12,False,2,PRIMING,mixed,other,audio/white_noise_45.wav,audio/tiger_45.wav,B,45,45,ambiguous,ambiguous,AMBIG_AMBIG,False,B,45,1,,,,
20260510_225301_14,13,False,1,PRIMING,mixed,other,audio/white_noise_135.wav,audio/scream_135.wav,B,135,135,ambiguous,ambiguous,AMBIG_AMBIG,False,B,135,1,,,,
20260510_225301_14,13,False,2,PRIMING,mixed,other,audio/tiger_180.wav,audio/scream_180.wav,B,180,180,ambiguous,ambiguous,AMBIG_AMBIG,False,B,180,1,,,,
20260510_225302_15,14,False,1,PRIMING,mixed,other,audio/zombie_225.wav,audio/scream_225.wav,B,225,225,ambiguous,ambiguous,AMBIG_AMBIG,False,B,225,1,,,,
20260510_225302_15,14,False,2,PRIMING,mixed,other,audio/white_noise_270.wav,audio/bear_270.wav,B,270,270,discrete,discrete,DIST_DIST,False,B,270,0,,,,
20260510_225304_16,15,False,1,PRIMING,mixed,other,audio/bear_90.wav,audio/white_noise_90.wav,B,90,90,discrete,discrete,DIST_DIST,False,B,90,0,,,,
20260510_225304_16,15,False,2,PRIMING,mixed,other,audio/tiger_225.wav,audio/zombie_225.wav,A,225,225,ambiguous,ambiguous,AMBIG_AMBIG,False,A,225,1,,,,
20260510_225305_17,16,False,1,PRIMING,mixed,other,audio/death_whistle_270.wav,audio/zombie_270.wav,A,270,270,discrete,discrete,DIST_DIST,False,A,270,0,,,,
20260510_225305_17,16,False,2,PRIMING,mixed,other,audio/zombie_135.wav,audio/white_noise_135.wav,B,135,135,ambiguous,ambiguous,AMBIG_AMBIG,False,B,135,1,,,,
20260510_225307_18,17,False,1,PRIMING,mixed,other,audio/tiger_180.wav,audio/zombie_180.wav,B,180,180,ambiguous,ambiguous,AMBIG_AMBIG,False,B,180,1,,,,
20260510_225307_18,17,False,2,PRIMING,mixed,other,audio/tiger_180.wav,audio/bear_180.wav,B,180,180,ambiguous,ambiguous,AMBIG_AMBIG,False,B,180,1,,,,
20260510_225309_19,18,False,1,PRIMING,mixed,other,audio/bear_315.wav,audio/white_noise_315.wav,B,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,B,315,1,,,,
20260510_225309_19,18,False,2,PRIMING,mixed,other,audio/tiger_180.wav,audio/zombie_180.wav,B,180,180,ambiguous,ambiguous,AMBIG_AMBIG,False,B,180,1,,,,
20260510_225310_20,19,False,1,PRIMING,mixed,other,audio/bear_315.wav,audio/zombie_315.wav,B,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,B,315,1,,,,
20260510_225310_20,19,False,2,PRIMING,mixed,other,audio/scream_315.wav,audio/zombie_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,A,315,1,,,,
